year,month,day,hour,min,area,property,death,death_fireman,injury,injury_fireman,missing,detail,where,longtitude,latitude,reason,province,type,reason2,GDP,rank_G,killed_injured,id
2009,4,11,21,34,16.2,1.2,4,,,,,人为纵火,内蒙古自治区乌海市海勃湾区摩尔沟东街北46栋1号一民房,106.850691,39.698831,人为,内蒙古,住宅,人为（纵火）,9740.25,15,4,00096
2009,4,13,20,12,7,0.3,3,,,,,人为纵火,内蒙古自治区呼伦贝尔新巴尔虎右旗克尔伦苏木宝音塔拉嘎查一蒙古包,116.181367,48.365537,人为,内蒙古,住宅,人为（纵火）,9740.25,15,3,00097
2009,4,25,22,10,70,3.1,3,,,,,电暖器使用不当,四川省凉山州冕宁县曹古乡大马乌村结古吃达家,102.293434,28.64901,用火不慎,四川,住宅,用火不慎,14151.28,9,3,00098
2009,4,26,0,53,150,10,3,,,,,人为纵火,福建省泉州市丰泽区城东街道亿门摩配城E幢8号、9号、10号店铺,118.64506,24.927766,人为,福建,公共,人为（纵火）,12236.53,12,3,00099
2009,4,30,23,37,130,8,3,,,,,人为纵火,河北省承德市双桥区西大街马市街交叉口西100米的金太阳歌城,117.948355,40.971406,人为,河北,公共,人为（纵火）,17235.48,6,3,00100
2009,5,3,13,18,187,47.9,3,,,,,电气线路短路,河北省沧州市新华区铁西商住区E座5号宏达电器门市部,116.882455,38.312824,电气（电线）,河北,公共,电气（电线）,17235.48,6,3,00101
2009,5,5,23,45,120,7.5,4,,,,,电气线路短路,重庆市开县长沙镇长富街120号居民楼一层门面房,108.316249,31.004299,电气（电线）,重庆,公共,电气（电线）,6530.01,23,4,00102
2009,5,21,,,,21.6,13,,3,,,电源线短路,广东省汕头市潮阳区谷饶镇上堡居委会五片一家庭作坊,116.422517,23.360266,电气（电线）,广东,工厂,电气（电线）,39482.56,1,16,00742
2009,6,19,16,17,156,2.1,3,,,,,配制“脱模剂”操作不当,河北省保定市安新县三台镇涞城村一出租屋,115.882694,38.960455,违章操作,河北,住宅,违章操作,17235.48,6,3,00103
2009,6,29,5,10,240,11.5,3,,,,,生活用火不慎,云南省红河州弥勒县虹溪镇虹溪村委会西门村西门街547号附1、附2号民房,103.340195,24.14774,用火不慎,云南,住宅,用火不慎,6169.75,24,3,00104
2009,7,4,4,48,,2.5,3,,,,,电瓶车电气线路故障,江苏省常熟市虞山镇积善寺2号民宅,120.751616,31.636738,电气（电器）,江苏,住宅,电气（电动车）,34457.3,2,3,00105
2009,7,14,16,55,21.5,0.3338,3,,,,,香烛引燃周围可燃物,内蒙古自治区呼和浩特市土默特左旗台阁牧镇瓜房子村一村民房屋,111.441229,40.733333,用火不慎,内蒙古,住宅,用火不慎（蚊香）,9740.25,15,3,00106
2009,7,18,4,54,320,6.64,3,,,,,原因不明,贵州省黔东南州榕江县乐里镇中心学校旁民房,108.4643,26.230838,原因不明,贵州,住宅,原因不明,3912.68,26,3,00107
2009,7,26,4,,74,5.6,4,,1,,,点蚊香不慎,重庆市大足县龙水镇永益路195号杰发音像销售门市,105.763678,29.574434,用火不慎,重庆,公共,用火不慎（蚊香）,6530.01,23,5,00108
2009,7,26,5,10,20,4.8,3,,,,,点蚊香不慎,湖南省长沙市高开区雷锋镇桥头铺319国道南侧的雷锋机电建材市场1栋135号门面,112.846733,28.205435,用火不慎,湖南,公共,用火不慎（蚊香）,13059.69,10,3,00109
2009,7,30,4,50,280,44.4,4,,1,,,电气线路故障发热,广东省中山市沙溪镇龙头环村宝环街2巷7号万源制衣厂,113.320556,22.528935,电气（电线）,广东,工厂,电气（电线）,39482.56,1,5,00110
2009,7,31,23,33,110,16.1,5,,,,,移动插座与插片接触不良引起短路引燃周围可燃物所致,山东省东营市河口区海宁路河凯小区兴岭便民商行,118.519299,37.883089,电气（电线）,山东,公共,电气（电线）,33896.65,3,5,00111
2009,8,4,1,54,75,58.6,3,,1,,,人为纵火,浙江省湖州市长兴县雉城镇仓前街的一窗帘店,119.901273,30.994612,人为,浙江,公共,人为（纵火）,22990.35,4,4,00112
2009,8,13,23,56,,20.1,3,,,,,无法排除电气故障,上海市嘉定区马陆镇育绿路301弄16-A41、A42百货五金商行,121.299218,31.347121,原因不明,上海,公共,原因不明,15046.45,8,3,00113
2009,8,15,7,52,82,2.7,3,,1,,,起火原因不明,云南省曲靖市沾益县盘江镇大树屯村委会二村,103.871413,25.76644,原因不明,云南,住宅,原因不明,6169.75,24,4,00114
2009,8,22,5,50,29.2,3,3,,1,,,电气线路短路,广东省阳江市阳西县上洋镇文明路附近一间一层砖木结构的住宅民房,111.588898,21.594419,电气（电线）,广东,住宅,电气（电线）,39482.56,1,4,00115
2009,8,27,6,38,10,0.1722,6,,1,,,死者李某吸烟引起床上可燃物阴燃,吉林省辽源市西安区煤城新村住宅小区21号楼2单元103室“老年公寓”,125.157538,42.927812,吸烟,吉林,住宅,吸烟,7278.75,22,7,00116
